WORD1;WORD2
Sludge pump;Грязевой насос
small deflection sheave;шкиф малого прогиба
small-carbonaceous;малоуглеродистый
Small-size equipment;Мелкогабаритное оборудование
Smearing out;Размазывание
Smith bracket;Ковкая (?) бракета (кронштейн)
Smoke reporting unity;Дымосигнальная установка
Smoke tube;Дымогарная труба
smooth;разглаживать
Smooth contour;Плавный обвод
Smooth grinding;Чистовое шлифование
Snap check;Выборочный контроль
So far;До сих пор
Soap dish;Мыльница
socket;раструб, эл. Розетка
sofa corner;угловой диван
sofa table;стол преддиванный (журнальный)
Soft ground;Слабый грунт
Soft rope;Мягкий трос
software;математическое обеспечение, програмное обеспечение, программные средства
soiled/dusty rags;загрязненная ветошь
Sole beneficiary;Единоличный получатель экономических выгод
Solely;Единственно, исключительно, только
solid;твердое тело
Solidification;Твердение
Solve valve;Управляющий клапан
solvent;растворитель
solvent free;нерастворимый
sonar;Гидролокатор
Sound absorber;Звукопоглотитель
Sounding cap;Измерительная головка
sounding pipe line;измерительный трубопровод
Soundproof glass;Звукозащитное стекло
source;источник
space;помещение
Space tracing;«спутник»
spacer;Прокладка, дистанционная рама (стеклопакета), распорка, шайба
span;топрик, пролет
span rope;топенант
Spar ladder;Скоб-трап
spare locker;запасной шкаф
Spare parts for PC;Дополнения (зап. части) к ПК
Spark arrester;Искроуловитель, искроулавливающее устройство
spatial diagonal;пространственная диагональ
spatter;брызги
special complicity;особая сложность
Special critical occasion;Особо критический случай
Special technical education;Специально-техническое образование
Specific weight;Удельный вес
specimen;образец
spectrum-chemical;спектрохимический
spendable;Одноразового использования
Spherical roller bearing;Сферический роликовый подшипник
spider;кронштейн, крестовина
Spigot fit;Раструбная посадка
spillage;утечка, утруска, потеря
Spline;"Рейка, планка; шлиц, паз; шпонка"
Spline protection;Шлицевая защита
splint;шплинт
Split;Разбивка, разделка, раскол
Split drum;Раздвижной барабан
Split pin;"Шпринт; шплинт"
Sponge foam;Пористая пена
spool;наматывать
Spool valve;Золотниковый клапан
spooling;буферизация
Spooling gear;Навивочный механизм
Spot arc deposition;Точечная наплавка
Spot check;Выборочный контроль
Spotfacing;Цекование
Spot-welding;Точечная наплавка
Spray plate;Распыливающая планка (?)
sprayer;распылитель
spreader;распорка
Spreader-line-up marks;Расстановочные знаки, распределительные знаки (?)
spreading;распределение, расковка, плющение
Spring chamber;Полость для пружины
Spring washer;Пружинная шайба
Sprinkler system;Спринклерская система
sprocket;цепное колесо
spruce;Ель
Spun can;Опорный кессон
stability;Прочность, остойчивость
Stability lever;Плечо остойчивости
Stabilization tank;Успокоительная цистерна
stack;Дымовая труба, стеллаж, полка
stacker;механический укладчик, штабелер, при.мно-комплектующее устройство
staging planks;настил
stainless steel;нержавеющая сталь
Stair head landing;Лестничная площадка (немц.)
Staircase;Лестничная клетка, лестничная шахта
stairs;трап
Stairs trunk;Шахта трапов
stairway;лестница
Stairway casing;Шахта трапов
Stairway stringer;Тетива трапа
Stairway tower;Шахта (сходного) трапа
stairwell;Шахта трапов
stanchion;стойка
Stanchion foot;Опора стойки
stand;стенд
standard;стандарт, типовой, стандартный, образец
Standard size;Типоразмер
Standby-ship;Резервное судно
staple;скоба, ушко, проушина, петля, струбцина
starboard side;правый борт
Start and run off brackets;Пусковые и спусковые бракеты
Start battery;Пусковая батарея
Starter box;Стартерная коробка
Starting air vessel;Баллон с пусковым воздухом
statehood;"Статус государства; государственность"
statement of corrections;ведомость исправлений
State-of-the-art engineering;Передовая технология
Static balancing;Статическая балансировка
stationary;Стационарный
stationary fourpost system;стационарная четырехпостовая установка
Stationery;Канцелярские товары
Status;Статус, состояние, положение
Statutory liability insurance;Предусмотренное законом обязательное страхование
stay;Контрфорс, стойка, опора, подпора, упор, штаг, леер (для паруса), оттяжка, стояк (трубопровода)
stay bar;стежка
Steady;Устойчивый, постоянный, неизменный, стабильный
Steam receiver;Паросборник
Steam tracing;Паровой спутник
steel activities groups;корпусное бюро
Steel collar;железный воротничок, робот
steel drawing;чертежи по корпусному насыщению
steel framework;арматура (для труб)
Steel girder;Стальной прогон (балка)
Steel member;Стальной элемент
steel plate fender;наружный правильный брус
Steel prefabrication;Корпусо-заготовительное производство, обработка стали, предварительная сборка корпусов
steel tape;стальная лента
Steel-assembling production;Корпусо-сборочное производство
Steering gear room;Румпельное отделение
Steering hydraulics;Рулевая гидравлика
Steering hydraulics oil tank;Масляная цистерна рулевой гидравлики
Steering tube;Рулевая колонка
Steering tube flange;Фланец рулевой колонки
Stem;"Форштевень; стержень, шток, штанга"
Stem hawse pipe;Якорная труба, проходящая через форштевень
stern;корма
Stern boss;Яблоко дейдвуда
Stern hawse pipe;Кормовая якорная труба
stern post;ахтерштевень, старнпост
stern roll;кормовой рол
Stern roller;Кормовой роульс
Stern tank;Кормовая цистерна
Stern tube boss;Яблоко ахтерштевня
Stern tube header oil tank and piping;Масляная цистерна и трубопровод дейдвудной трубы
Stern wire;Кормовой трос
Sterntube bearing;Дейдвудный подшипник
Stick;Пруток, оголовок
Stick electrode;Сварной электрод (для ручной сварки)
sticking (into);притыкание
stiffening rib;ребро жесткости
Stipulation;Оговорка, условие, договор,соглашение, пункт соглашения
stock No;складской номер
stock number list;складской перечень
stock yard;склад
stone prism;каменная призма
stop;упор
stop valve;стопорный клапан
stopper;Стопор, стопорный механизм
Stopping;Остановка
Storage equipment;Складское оборудование
Storage pipe;Подающая труба
storage place;склад
store;кладовая
storehouse;склад
stores;Кладовые, складики
stores silos;контейнеры для хранения грита
storm cover;штормовая крышка
Storm handrail;Штормовой поручень
storm railing;штормовое ограждение
Stove-enameling;Горячее эмалирование
Stowage box;ящик для найтов, ящик для хранения груза
Stowed position;Походное положение
straight base;прямая основа
straight bulb profile;прямолинейный бульбовый профиль
Straight coupling;Прямое концевое соединение, прямая муфта
straightening;правильный, рихтовальный
Straightening rolls;Правильные вальцы
strainer;"Сетчатый фильтр; распорка"
Strap;Строп
Strength;Прочность
Strength deck;Штормовая палуба
strengthening;подкрепление
Strengthening iron;Выравнивающая балка
Stress;Усилие
Striking plate;Запорная планка (дверного замка)
Strip;Полоса, штрипс
stripe;Полоса (узкая)
Stripe coat(ing);Полосовое покрытие (кистью)
striping;Полосовое покрытие (кистью)
Strong rail;Прочный леер
structural drawing;конструкционный чертеж
structural test;испытание на прочность
Strut;Сжатый элемент (конструкции), стойка, распорка, подкос, укосина
stub guy;контроттяжка
Stud;Шпилька
Stud bolt;Резьбовая шпилька
Subassembly;"Предварительная сборка, подсборка, узловая сборка; сборочный узел"
Sub-coating;Подслой, подложка
subcontract;субдоговор
subcontractor;Субподрядчик, завод-смежник
subdivision into blocks;разбивка (судна) на блоки
Subfloor;Черный пол, подпол
submarine support;подводная опора
submerge;погружать в воду, покрывать водой, затоплять
submerged arc welding;сварка под флюсом
Submission;Утверждение
subsection;подсекция
Subsidiary;Филиал, дочерняя фирма
substitution;Замена (действие)
Substructure;Опорная конструкция, фундамент, основание, нижняя платформа
sub-supplier;Субподрядчик, представитель поставщика
suction;всасывание
suction connection;приемный патрубок
Suction well;Приемный колодец
Sudden death;Внезапная смерть
sufficient;достаточный
suggestion;предложение
sulfur;сера
summary expenditure rates;сводная норма расхода
sump;маслосборник, грязевик
sump tank;сточная цистерна
Sun deck;Солнечная палуба
Superintendent;Управляющий, директор, руководитель, начальник
superposition;совмещение
Superseded version;Замещающая (заменяющая) версия
superstructure;надстройка
supervisor;супервайзер, надсмотрщик, надзиратель, контролер, наблюдатель
Supplement;Дополнение, добавка, добавление
supplemented;Дополненненый
supply;снабжение, поставка, подача, подвод, питание, электроснабжение, электропитание, запасы, продовольствие
Supply cabinet;Шкаф подачи (?)
Supply point;Точка (электро)питания
supply-vessel;судно-снабженец
support jig;постель опоры
Support point;Опорная точка
Support profile;Опорный профиль
support tube;поддерживающая трубка
Supported floor;Подкрепленный флор
Supporting equipment;Вспомогательные средства
supreme body;"Верховный; высший орган"
Surrounding frame;Обрамляющая рамка
Surroundings;Окружающая среда, окружение, близлежащий район
Surveillance;Надзор, инспектирование, наблюдение
Surveillance district;Участок инспектирования
survey;обозрение, осмотр, освидетельствование
suspender;подвеска
Suspension clamp;Поддерживающий зажим
Sweeping;Обдув, очистка
sweepings;смет, мусор, сор
Swimming basin (pool);Плавательный бассейн
Swing bolt;Откидной болт
Swing hook;Шарнирный (откидной) крючок
Swinging scaffold;Подвесные леса
switch;переключатель
switching;переключение
swivel;вертлюг
swivel counterweight;противовес вертлюжный
Synchronizer;Синхронизер, синхронизатор
Syringe;Шприц
T;
tab;Петелька, кнопка на клавиатуре РС
Table leaf;Створка стола
tables of cutting meters;таблицы количества метров резки
tables of welding meters;таблицы количества сварочных метров
tabletop;Крышка стола
tack;прихватка
Tacking;Прихватывание (сваркой)
tackle;тали
tail;хвостовик, штерн
Take-over;Приемка
Taking;Взятие
Tally office;Регистрационный офис
Tank top;Настил внутреннего дна, крышка цистерны, второе дно
tap;Кран
tape;Клейкая лента
tape-measure;рулетка
tapered;заженный вощенным фитилем, конический, конусный, клиновидный, скошенный, заостренный, конусообразный
Tapered bore;Конический диаметр отверстия
tapering;ласка
Tap-key;Задраичный ключ
tapped hole;нарезное отверстие
Tappet;Эксцентрик, кулачок
Tax rules;Принципы налогооблажения
teak;Тик
teak door;тиковая дверь
tearing machine;разрывная машина
technical act;технический акт
Technical inspection;Технический осмотр
technical inspection bureau;бюро технического надзора
technical office;техническое бюро
techniques;техника
technological set list;ведомость технологических комплектов
Technological strengthening stiffener;Технологическое выравнивающее ребро жесткости
Technological strip;Технологическая планка
tee piece;тройник
tee-joint;тройник
telpher;тальфер
Temper brittleness;Отпускная хрупкость
Temperature differentials;Перепады температуры
template;шаблон
Template contact line;Линия приклада шаблонов
temporary part;забойная деталь
temporary railing;временное ограждение
Tender;Заявка на подряд, официальное предложение, письменное предложение
Tender package;Пакет заявок на подряд
tenfold;десятикратный
tensile;растяжение
tension;растяжение, натяжение
Tent;Тент, палатка
term of office;срок полномочий
terminal;клемма
Termination;Окончание срока действия
test body;человек, связанный с испытаниями
test drawing;карта, чертеж раскройки
Test Log;Журнал испытаний
test report;акт заводского испытания
Test running;Тестовый запуск
testing facilities;оборудование для проверки, испытаний
testing of pipe density;испытание труб на плотность
testing of pipe strength;испытание труб на прочность
tetra pack;тетра пак
T-framework;Тавровый набор
Thaw room;Помещение для оттаивания продуктов
The 10th instant;10-го числа текущего месяца
The Customer;Клиент, покупатель, заказчик
the end of pipe;торец трубы
The make of car;Марка машины
The scale of a drawing;Масштаб чертежа
theodolite;теодолит
Thereafter;После этого
Thermal conductivity rate;Коэффициент теплопроводимости
Thermal shrinkage;Термическая усадка
Thermoinsulation material;Термоизоляционный материал
thermometer;термометр
Thickness of fillet;Катет сварки
thimble;коуш
Thin and thick hoses;Тонкие и толстые шланги
Thin bed;Тонкий пласт
thin Internet;тонкий Интернет
Thin nut;Низкая гайка
thinner distiller;дистиллятор разбавителя
Thinner regeneration;Регенерация, восстановление растворителя
thinning;разбавление
thread;нарезка, резьба
thread cutting machine;резьбонарезной станок
Threatening;Угрожающий, грозящий
Three-way valve;Трехходовой клапан
throat;горло, горловина, зев,короткая соединительная часть (в трубопроводе), толщина сварного шва
throttle valve;дроссельный клапан
throttling orifice;дроссельная гайка
Through bolt;Стяжной болт
Through smb. fault;По чьей-то вине
Throughout the circuit;По контуру
Thruster;Подруливающее устройство
Thruster pipe;Труба подруливающего устройства
thumb;барашек
thyristor;Тиристор
Tidying;Уборка
Tie rod;Стяжной стержень
Tier;ярус
Tightening;Стяжка, затягивание, натягивание
Tightening torque;Крутящийся момент затяжки
tightening with bolt;вворачивание болтом
tightness test;испытание на непроницаемость
Tiller;Румпель
Tiller connection;Тяга румпеля
tiller room;румпельное отделение
Tilt bracket;Наклонная бракета
Tiltable;Кантователь
Tiltable platform;Откидная платформа
Tilting;Наклонный
Timber;Лесоматериал, строевой лес, пиломатериалы, бревно, брус, деревянная балка, тимберс, шпангоут
Timber deck;Деревянный настил, дощатый настил
Time of delivery;Срок поставки
time-and-cost clerk;нормировщик
Time-sheet;Табель (учета отработанных часов)
Tin opener;Открывашка для консервов
tinman’s shears;ножницы по металлу (жести)
Tipping bracket;Опрокидывающаяся бракета
Tipping device;Опрокидывающее устройство
T-joints weld;тавровый шов
To saturate;Насыщать
To abide by;Принимать что-либо во внимание, считаться с чем-то, следовать чему-то
To abide by one’s promises;Выполнять (свои) обещания
To abide by the terms;Соблюдать условия
To abolish;Отменять, упразднять
To abut;Прилегать, примыкать
To accelerate;Ускорять, форсировать, обучать ускоренным методом, разгонять
To accumulate;Накапливать
To achieve a rhythmical pace of work;Достичь ритмичности работы
To acquire;Обнаруживать, овладевать, приобретать, получать, достигать, покупать
To adhere to;Соблюдать, придерживаться, присоединяться
To adopt on installation;Переделывать (подгонять) при монтаже
To affix;Прикрепить
To allot;Отводить, выделять, наделять, предназначать, назначать, распределять, раздавать, вводить в состав
To amend;Вносить поправки, исправлять
To anticipate;Прогнозировать, ожидать, предвидеть, рассчитывать, опережать
To append;Ставить подпись, прибавлять, прикладывать печать, прилагать, добавлять
To assemble;Укрупнить (блоки для надстройки)
To assign the limit;Устанавливать предел
To assume;Принимать, брать на себя, допускать
To attend;Посещать, сопровождать, следить, присутствовать, уделять внимание
To attest;Заверять, подтверждать
To attract;Привлекать, привлечь, притягивать
To be arranged end for end;Быть перевернутым вверх ногами
To be berth;Установить на причал
To be clad with;Зашивать (подволок, переборку)
To be encouraged;рекомендуется
To be fair;Быть усредненным
To be feathered back;Развернут назад
To be in charge of smth.;Отвечать за что-либо
To be in difficulties;Испытывать материальные трудности
To be in instant need of smth.;Испытывать настоятельную необходимость в чем-то
To be in progress;Осуществляться, проводить, проходить, притворять в жизнь
To be in reduced circumstances;Быть в затруднительном материальном положении
To be in time;Успевать, успеть, поспевать, поспеть
To be like to;Возможно
To be monitored;Под контролем
To be on a visit to Denmark;Находиться с визитом в Дании
To be touch-up-primed;Подгрунтованный, подкрашенный
To be under way;Осуществляться, проводить, проходить, притворять в жизнь
To bear cost;Брать на себя расходы (оплату)
To become worthless;Прийти в негодность
To borrow;Получать заем, брать взаймы
To bridle;Оттягивать (растягивать) шпрюйтом
To bring;Вводить в действие
To cant;Окантовать
To carry out;Вводить в действие
To catch up;Догонять, нагонять, наверстывать
To cease;Прекращать, приостанавливать
To charge;Требовать оплату, назначать цену, относить на счет
To cheer;Одобрять, поощрять, поддерживать
To commence;Начинать, начинаться, получать ученую степень в университете
To commission;Вводить в действие
To compile;Составлять (перечень, отчет)
To comply with;Повиноваться, удовлетворять, исполнять, подчиняться, действовать в соответствии с
To comply with smb. Request;Исполнить чью-либо просьбу
To comply with the rules;Подчиняться правилам, действовать согласно правилам
To comprise;Составлять, охватывать, включать, состоять из
To condole with;соболезновать
To conduct;Проводить, руководить, вести
To confine;Ограничивать
To consider null and void;Считать не имеющим юридической силы
To cope;Справляться
To cut obliquely;Срезать «на ус», срезать наискось
To cut out;Срезать
To deal;Выдавать
To deem;Считать, полагать, думать
To detect the defects;Обнаруживать дефекты
To diagnose;Выявлять (недостатки)
To differ from;Отличаться
To distort;Деформировать, коробить
To draw no reply;Не получить ответа
To emphasize the question;Заострять вопрос
To encircle;Обводить
To encode;Кодировать
To encourage;Одобрять, поощрять, поддерживать
To enforce;Вводить в действие
To evidence;Свидетельствовать, подтверждать
To expose;Подвергать (водействию)
To fetch;"(сходить и) принести; привести; заезжать, заходить за кем-то; прибывать, достигать пункта"
To fetch into port;Входить в порт
To fetch the discussion to a close;Прекратить прения
To fetch up at a port;Прибывать в порт
To find oneself;находиться
to fix rate;нормировать
To gear down;Уменьшать, снижать
To give a talk on;Выступать с сообщением, провести беседу (на какую-либо) тему
To give effect to;Вводить в действие
To go back from one’s words;Отказываться от своего обещания
To go on;Осуществляться, проводить, проходить, притворять в жизнь
To grind (ground, ground);Зачищать, шлифовать, затачивать, править, измельчать, размалывать, растирать, мелко дробить
To ground;Заземлять
To have smth. Made;Выражает действие, совершенное по инициативе или побуждению какого-либо лица
To have time;Успевать, успеть, поспевать, поспеть
To heat smoothly;Подплавлять
To highlight;Выдвигать на первый план,придавать большое значение
To idemnify;Компенсировать, возмещать убыток
To ignite;Зажигаться, возгараться
To implement;Выполнять, осуществлять, проводить в жизнь, снабжать, обеспечивать инструментами
To imply;Означать, подразумевать, предполагать
To impose;Налагать, облагать
To inherit;Унаследовать
To institute;Основывать, учреждать, вводить,назначать на должность
To intend for;Предназначать
To introduce;Вносить, внедрять
To jam;Давить, сжимать
To lade (laded, laden);Грузить, нагружать, погружать (with)
To lapse;Истекать, становитьсянедействительным, прекращаться, терять силу
To lend (lent, lent);Давать в займы, ссужать
To levy;Назначать штраф, облагать налогом
To list;Крениться, накрениться
To log;Регистрировать
To look into the matter;Рассмотреть вопрос
To look up;Искать (информацию)
To make do;"Обходиться тем, что имеется; справляться"
To make no sense;Не имеет смысла
To make progress;Успевать, успеть, поспевать, поспеть
To make smth. Known;Сообщать о чем-либо, обнародовать что-либо
To manage;Справляться (с чем-то)
To monitor;Контролировать
To note the price;Указать цену
To obtain;Приобретать, получать, достигать, доставать, добиваться
To overhang;Выступать, свешиваться
To override;Иметь преимущественное юридическое действие
To pass in;Подавать, сдавать, предъявлять
To pass test;Пройти испытание
To peg;Устанавливать цены или стоимость, искуственно поддерживать (курс, цену), охранять от колебаний (курс, цену)
To peg the market;Поддерживать рыночные цены на одном уровне
to pin-point;точно определять, точно указывать, особо подчеркивать
To plot;Строить график, строить диаграмму, вычерчивать кривую
To polish;Шлифовать
To possess;Обладать, владеть
To present one’s condolences to smb.;Выражать кому-то свое соболезнование
To produce;Предъявлять, быть причиной, приносить, производить, выпускать
To project;Выступать, выдаваться
To quote;Открыть кавычки
To quote a price on smth;Назначать цену за что-то
To radiograph for defects;Испытывать рентгеном
To recognize a mistake;Признать ошибку
To recycle;Перерабатывать (отходы)
To re-establish smth. on a new site;Переносить на другое место
To relate to smth.;Иметь отношение к чему-то
To release;Размыкать, ослаблять
To rely on;Основывать, опираться на
To remedy a defect;Исправлять (устранять) дефект
To reprint;перепечатывать
To reserve apartments at the hotel;Заказывать номера в гостинице
To retract;Перемещаться назад
To reveal;Открывать, выявлять, обнаруживать, показывать
To roughen;Придавать шероховатость
To round up in length;Округлять длину
To saturate;Насыщать
To second;Выступать в поддержку (предложения, резолюции)
To second a motion (a proposal);Поддерживать резолюцию (предложение)
To secure;Крепить
To set back;Препятствовать, задерживать, отодвигать, повернуть назад, помещать в глубине, в дальнем конце и т.п.
to set rate;нормировать
To shut off;Заглушить
To sign off with name and initials;Подписываться своим именем и инициалами
To smooth;Сглаживать, выравнивать, шлифовать, полировать
To smooth out the dent;Выправлять вмятину
to standardize;нормировать
To start;Отправляться (о людях, о средствах транспорта)
To stir;Перемешивать, мешать
To stop;Прекращать
To straighten;рихтовать
To streamline;Модернизировать, ускорять, рационализировать
To stretch;Натягивать, подтягивать
To submit;Передать на рассмотрение, вносить на рассмотрение, указывать, передавать, подчиняться, утверждать, заявлять
To suspend;Откладывать, приостанавливать, временно прекращать, прерывать
To sustain;Терпеть (убытки), нести (убытки), удерживать, выдерживать
To switch around;Передвигать, перемещать, переставлять (напр. мебель)
To take a long time;Занимать много времени (в утвержд.)
To take conditions upon oneself;Брать на себя условия (документа)
To take long;Занимать много времени ( в отриц./вопросе)
To take over;Принимать на себя
To tape;Защитить клейкой лентой
To tape off;Удалить клейкую ленту (?)
To the agreed extend;В согласованном обьеме
To tilt;Кантовать(ся), наклонять(ся), отклонять(ся), опрокидывать(ся)
To touch up;Исправлять, заканчивать, отделывать, класть последние штрихи (мазки)
To transpose;Переставлять, перемещать, передвигать
To trim;Резать, вырезать
To undercut;Подрезать
To undertake;Гарантировать, ручаться, брать на себя, предпринимать
To unfit for use;Прийти в негодность
To unquote;Закрыть кавычки
To utilize;Использовать, утилизировать
To validate;Подтверждать, объявлять действительным, признавать законным
To vary;Разнообразить, менять, сменить, переменить, видоизменить
To vary from;Отличаться
To veneer;Облицовывать (шпоном), фанеровать
To wear out;Прийти в негодность
To wit;То есть
To withdraw;Отменять, аннулировать,прекращать
To withstand pressure;Выдерживать давление
toner;тонер
tongs;клещи, щипцы, плоскогубцыtr>
Tooling;Инструментальная оснастка
Tooth coupling;Зубчатая муфта
Tooth gear;Зубчатое колесо
Top die;Пуансон, верхний штамп (в прессе)
Top edge;Верхняя кромка (листа)
Top light;Топовый огонь
Top tank;Расходная цистерна
Top-profile;Верхний профиль
Topside;Надводный борт
torch;сварочная горелка
Torch head;Насадка горелки
torque machine;гайковертка
Torque wrench;Динамометрический гаечный ключ
totally;суммарно
Toughened glass;Закаленное стекло
tow;буксировка
towage;буксировка
towing;буксировка
Towing bridle;Буксирная брага
Towing equipment;Буксирное устройство
Towing gear;Буксирное устройство
Towing line;Буксирный трос (канат)
towing rope;буксирный трос (канат)
towing wire;буксирный проволочный трос
Towing-line eye plate;Буксирный рым
T-piece;Т-часть, тавровый профиль, тройник
T-profile;Т-профиль
tracing;трейсер, копирование на кальке
tracing paper;калька
track;путь, колея
tractive force;сила тяги
Tractive power;Тяговая мощность
tractive rope;тяговый трос
trade-unionist;член профсоюза
trail;линейный, проба, испытание, попытка
train list;поездная ведомость
Training;Тренинг
transborder;трансбордер
transferring;перенос
transition gear;привод перемещения
Transition tread;Переходная ступень
transitional;Переходный
transitional platform;переходная площадка
Transmit-receive aerial (antenna);Приемно-передающая антенна
Transmitter;Передающее устройство
transom;транцы
Transport;Транспортные средства
transport latching cover;крышка транспортной задвижки
Transport retainer device;Транспортное стопорное устройство
Transportation;Прогон, передвижка, транспортировка
Transposition;Перестановка
transverse;поперечный
travel agency;бюро путешествий
travel speed;скорость движения
Travelling expenses;Путевые расходы
traverse;траверса
trawler;траллер
Tray;Поддон
Tread grating;Решетка протектора
Trend;Тенденция
trestle;Леса, эстакада
trial report;протокол приемки и испытаний
triangular plate;планка треугольная
Triennial re-approval;Повторяющееся через три года повторное одобрение
Trigger;Триггер, пусковое устройство
trim;защищать
trim difference;дифферент
Tripod;Тренога
Tripping bracket;Расцепляющая бракета
trough;Желоб, лоток
truck;тележка
Truck MAFI;Платформа МАФИ
truck with inclined jib;тележка с наклонным носом (кливером)
trunk;шахта
trunking;вентиляционные шахты и каналы
trussing;строповка
tubular;трубчатый
tug;буксир
tuggage;буксировка
Tugger winch;Буксирная лебедка, вспомогательная лебедка
tugging;буксировка
tungsten electrode;вольфрамовый электрод
turnbuckle;талреп
Turning by 1800;Разворот на 1800
turning smth. Upside down;кантовка
Turn-over;Кантовка (блоков)
Twisted frame;Косой, скрученный корпус
twisted-pair cable;витая пара
two-component;двухкомпонентный
Typhon;Тифон
U;
ultimate load;предельная нагрузка
ultimo;прошлого месяца
Ultra-large crude carrier;Супертанкер водоизмещением свыше 400 000 т
ultrasonic;ультразвуковой
U-lug for hook knee;U-кронштейн для подкоса
under;"1. По; в соответствии; в силу; согласно; на основании; 2. При; во время; в эпоху"
Under the terms;Согласно условий
undercut;подрез
Underlay;Основание, подпорка
Underlayer;Нижний слой, подслой
Undersunk screw;Потайной винт
undertaking;Обязательства
Underwater hull;Подводный корпус
Unequal legs;Неравные стороны (уголка, треугольника и т.п.)
unevenness;неровность
Uniform heating;Равномерный нагрев
un-interuptable power supply;бесперебойное питание сервера
Unit measure;Единица измерения
Unit of waveguide track;Узел проводки волноводного тракта
Unit weld (?);Узловой шов
unite;объединять
Unjustified;Необоснованный
unloading;Выгрузка, разгрузка
Unloading device;Разгрузочное устройство
unspool;разматывать
Unusual features;Особые случаи
unwind;разматывать
Updated mark;Откорректированная отметка
upgrade;модифицировать, усовершенствовать, улучшать
upgrade memory;увеличивать память
Upholstery;Обивочный материал
Upon cancellation of the Contract;При аннуляции контракта
Upon completion of the test;После проведения испытания
Upon expiration of the date;По истечении этого срока
Upon the elimination of the defects;По устранении дефектов
Upper load deck;Верхняя грузовая палуба
upper rear door;верхняя задняя дверца
Upper stair landing;Верхнее крепление трапа
Up-right position;Вертикальное положение
Uptake;Вертикальный канал
Upward welding;Сварка снизу вверх
Usage temperature;Температура использования
user guide;руководство пользователя
user manual;руководство пользователя
user workstation;пользовательский ПК
using the labor standards;нормирование труда
utilities;комунальные услуги
utility services;комунальные услуги
Utilization;Использование, утилизация, загрузка
Utmost caution;Крайняя предосторожность
V;
Vacuum bed;Вакуумная постель
vacuum suction system;система вакуумного всасывания
vacuum venting system;система вакуумного продувания цистерн
Valid for acceptance;Действителен для принятия
Validation;Утверждение, придание законной силы, легализация
Validity;Пригодность, годность, законность, действительность, обоснование, вескость
Validity in law;Юридическая сила
Validity period;Срок юридического действия
Valley;Ендова, разжелобок
value;стоимость, ценность, значение
Value added tax (VAT);НДС (налог на добавочную стоимость)
Valve driving gear;Клапанной привод
Valve release cabinet;Шкаф деблокировки клапанов(?)
Valve spindle;золотник
Vapour;"Пары; испарения"
variable;переменная (величина)
Variable cost;Переменные издержки
velocity;Скорость
Velocity gage;тахометр
Velocity-type meter;Стандартный расходомер (натрубопроводе)
ven;отверстие
ventilating air;вытяжной воздух
ventilation;вентиляция
Ventilation duct;Вентиляционный канал
Ventilation flap;Вентиляционная захлопка
Ventilation louvers;Вентиляционные люверсы
Ventilation pieces of equipment;Элементы вентиляционного оборудования
Ventilation trunk;Шахта вентиляционных каналов
